<Primary>,,“id” <Ident>,,,,,,,,,,,,,,"""menos"" <Primary>",,,,,,,,"""parentesisIzq"" <AE> ""parentesisDer""",,<matConst>,,"""const""",“traspone” ”parentesisIzq” ”id” “parentesisDer”,“tam” ”parentesisIzq“ “id” “corcheteIzq” “int” “corcheteDer” “parentesisDer”,,,,,,,,,,
<Read>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"“rd” ""parentesisIzq“ <STR> ""id"" ”parentesisDer”",,,,,,,,,
<Write>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"“wrt” ""parentesisIzq“ <contwrt> “parentesisDer”",,,,,,,
<contwrt>,,<AE> <wrtDec>,,,,,,,,,,,,,,<AE> <wrtDec>,,,,,,,,<AE> <wrtDec>,,<AE> <wrtDec>,,<AE> <wrtDec>,<AE> <wrtDec>,<AE> <wrtDec>,,"""string"" <wrtDec>",,,,,,,,
<wrtDec>,,,,,,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,,"""coma"" <contwrt>",,,,,,
<Type>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<Arraydef>,"""float""",,,
<Arraydef>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"“array” ""corcheteIzq” ""int""  “coma” ""int"" “corcheteDer”",,,,
<Ident>,,,,,,,epsilon,,,,epsilon,,,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,,epsilon,"""corcheteIzq“ <AE> ""coma"" <AE> ""corcheteDer”",epsilon,,,,,,,epsilon,,,,,,
<Condicion>,,<TermCond> <CDec>,,,,,,,,,,,,,,<TermCond> <CDec>,,<TermCond> <CDec>,,,,,,<TermCond> <CDec>,,<TermCond> <CDec>,,<TermCond> <CDec>,<TermCond> <CDec>,<TermCond> <CDec>,,,,,,,,,,<TermCond> <CDec>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"PrimeroParentesisIzq ""assignOp"" <AE>ParentesisDer = LlaveIzqassignOpllaveDer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"PrimeroParentesisIzq”CorcheteIzq“ <AE> “Coma” <AE> “CorcheteDer” ""assignOp"" <AE>ParentesisDer = LlaveIzq ""CorcheteIzq"" llaveDer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
